"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"21","ORCL",0.018,0.32,0.33,-0.022,0.23,-0.005,0.32,0.018,0.36,0.31,0.35,0.23,0.17,0.35,0.23,0.28,0.012,-0.05,0.4,0.025,0.31,0.08,0.37,0.037,0.22,-0.00036,0.26,0.28,0.22,0.22,0.0091,0.061,0.34,0.29,0.34,0.38,0.053,0.21,0.12,0.23,0.0094,0.05,0.32,0.28,0.29,-0.03,0.037,0.32,0.27,0.36,0.12,0.37,0.32,0.3,0.35,0.24,0.25,0.21,0.26,0.33,0.29,0.32,0.18,0.42,0.063,0.33,0.3,0.04,0.088,0.27,0.011,0.21,0.27,0.3,-0.5,0.0092,-0.4,-0.49,0.28,0.18,0.26,0.0028,0.23,0.29,0.37,0.26,0.42,0.017,0.22,0.32,0.22,0.26
"22","QCOM",0.0088,0.31,0.3,-0.014,0.22,-0.068,0.29,0.031,0.35,0.34,0.36,0.27,0.17,0.4,0.2,0.28,0.023,-0.11,0.31,-0.0089,0.36,0.04,0.36,0.033,0.16,0.08,0.13,0.34,0.23,0.24,0.051,-0.024,0.36,0.31,0.3,0.39,0.012,0.27,0.26,0.21,0.0085,0.03,0.28,0.27,0.28,0.015,0.063,0.36,0.23,0.36,0.17,0.32,0.35,0.4,0.37,0.28,0.27,0.23,0.29,0.3,0.24,0.32,0.21,0.38,0.027,0.34,0.29,0.11,0.068,0.2,0.024,0.17,0.27,0.25,-0.21,-0.032,-0.17,-0.2,0.31,0.22,0.19,0.042,0.26,0.27,0.34,0.25,0.4,-0.0034,0.21,0.27,0.23,0.27
"23","SAP",0.083,0.29,0.29,-0.044,0.23,0.0041,0.3,-0.043,0.34,0.28,0.3,0.23,0.15,0.33,0.2,0.29,-0.035,-0.055,0.28,0.056,0.28,0.02,0.37,0.00017,0.12,0.012,0.17,0.28,0.15,0.17,0.025,0.086,0.3,0.26,0.27,0.36,0.028,0.28,0.23,0.23,0.093,0.0074,0.34,0.25,0.26,0.011,-0.0026,0.34,0.25,0.33,0.16,0.33,0.33,0.3,0.3,0.25,0.31,0.22,0.25,0.32,0.17,0.32,0.2,0.36,0.011,0.3,0.21,0.091,0.081,0.2,-0.046,0.15,0.3,0.24,-0.25,0.082,-0.21,-0.23,0.26,0.23,0.19,0.048,0.28,0.25,0.34,0.22,0.38,-0.027,0.27,0.24,0.2,0.29
"24","SHOP",0.011,0.24,0.22,0.0097,0.13,0.035,0.2,-0.026,0.24,0.2,0.25,0.17,0.11,0.27,0.16,0.21,-0.035,0.011,0.17,0.016,0.28,0.0039,0.28,-0.014,0.078,-0.048,0.16,0.25,0.17,0.14,0.05,0.03,0.22,0.22,0.21,0.27,-0.054,0.2,0.21,0.14,0.033,0.095,0.21,0.2,0.23,0.0018,0.077,0.23,0.13,0.26,0.077,0.22,0.24,0.25,0.22,0.22,0.2,0.2,0.16,0.27,0.092,0.24,0.19,0.27,-0.035,0.28,0.14,0.025,0.031,0.16,-0.021,0.18,0.22,0.2,-0.14,0.026,-0.13,-0.13,0.21,0.17,0.09,0.026,0.21,0.19,0.28,0.23,0.27,-0.041,0.19,0.23,0.17,0.15
"25","SNOW",-0.42,-0.021,0.011,-0.16,-0.076,-0.45,-0.029,0.83,-0.011,-0.025,-0.015,-0.0055,-0.027,0.067,0.0094,-0.0097,0.78,-0.022,0.14,-0.11,-0.11,0.48,2e-04,0.74,0.05,-0.069,-0.019,0.11,-0.071,0.024,0.08,0.013,-0.039,-0.019,0.0094,-0.0059,0.057,-0.11,0.15,-0.058,0.029,0.082,0.2,-0.051,-0.026,0.004,-0.095,-0.055,-0.12,0.041,0.12,-0.094,-0.22,-0.045,-0.25,-0.00091,-0.059,-0.025,-0.076,-0.05,-0.11,-0.0087,-0.14,-0.032,0.57,0.0079,-0.051,0.2,0.22,-0.029,0.75,0.031,-0.0082,-0.05,0.012,-0.73,-0.024,-0.016,-0.0071,0.016,-0.063,-0.099,0.088,0.074,-0.031,0.021,-0.03,0.3,-0.049,-0.034,0.059,-0.043
"26","SONY",-0.073,0.3,0.27,-0.076,0.22,-0.071,0.28,0.071,0.33,0.29,0.34,0.15,0.18,0.38,0.21,0.31,0.08,0.042,0.32,-0.098,0.31,0.054,0.4,0.093,0.2,-0.066,0.17,0.32,0.24,0.15,0.019,-0.019,0.37,0.3,0.26,0.36,0.038,0.19,0.24,0.16,-0.011,-0.0092,0.36,0.28,0.27,-0.062,-0.015,0.29,0.21,0.32,0.15,0.29,0.3,0.36,0.3,0.28,0.28,0.17,0.26,0.32,0.18,0.33,0.18,0.37,0.055,0.28,0.27,0.077,0.037,0.25,0.055,0.15,0.24,0.28,-0.25,-0.034,-0.23,-0.26,0.29,0.24,0.14,-0.034,0.18,0.26,0.32,0.24,0.34,-0.0095,0.18,0.27,0.22,0.24
"27","SQ",-0.0069,0.33,0.29,0.00042,0.19,-0.027,0.26,0.0026,0.3,0.27,0.28,0.24,0.15,0.34,0.23,0.26,-0.0079,-0.038,0.19,0.068,0.27,0.016,0.35,0.0033,0.072,-0.029,0.17,0.28,0.18,0.26,0.027,0.062,0.27,0.27,0.31,0.35,-0.091,0.24,0.26,0.14,0.058,0.069,0.22,0.25,0.24,0.072,0.054,0.32,0.15,0.31,0.11,0.28,0.32,0.35,0.27,0.27,0.29,0.27,0.3,0.32,0.15,0.3,0.21,0.35,-0.0082,0.31,0.19,0.079,0.044,0.18,0.0039,0.17,0.28,0.25,-0.18,0.026,-0.16,-0.19,0.32,0.2,0.12,0.07,0.31,0.25,0.33,0.28,0.33,-0.014,0.24,0.26,0.23,0.29
"28","TEAM",-0.069,0.2,0.15,-0.0055,0.036,0.019,0.13,0.021,0.16,0.14,0.18,0.15,0.064,0.23,0.11,0.13,0.024,-0.042,0.15,-0.03,0.15,-0.023,0.2,0.022,-0.013,-0.011,0.11,0.18,0.16,0.17,0.036,-0.0035,0.15,0.19,0.18,0.2,-0.079,0.17,0.18,0.039,0.076,-0.064,0.16,0.16,0.17,0.015,0.043,0.15,0.05,0.18,0.072,0.15,0.17,0.19,0.18,0.18,0.15,0.14,0.14,0.19,0.034,0.18,0.18,0.22,0.077,0.23,0.084,-0.0079,0.08,0.11,-0.0024,0.065,0.15,0.14,-0.072,-0.034,-0.1,-0.07,0.15,0.15,0.037,0.056,0.13,0.19,0.2,0.19,0.17,-0.05,0.12,0.17,0.12,0.17
"29","TSLA",0.033,0.19,0.19,-0.032,0.18,-0.0098,0.21,-0.006,0.29,0.19,0.21,0.2,0.15,0.26,0.17,0.17,-0.018,-0.0035,0.18,-0.035,0.26,0.018,0.26,0.024,0.022,-0.082,0.055,0.24,0.097,0.12,0.025,0.001,0.3,0.2,0.17,0.22,-0.079,0.3,0.2,0.053,0.0056,0.02,0.16,0.34,0.16,-0.028,0.098,0.21,0.14,0.23,0.13,0.23,0.25,0.28,0.19,0.22,0.23,0.17,0.23,0.24,0.054,0.22,0.13,0.27,0.049,0.27,0.19,0.035,0.071,0.13,0.0084,0.12,0.21,0.11,0.052,0.017,0.017,0.059,0.21,0.21,0.072,0.026,0.17,0.17,0.24,0.18,0.2,-0.038,0.16,0.17,0.14,0.22
"30","TSM",-0.013,0.16,0.16,-0.026,0.12,-0.097,0.17,0.045,0.24,0.21,0.19,0.1,0.15,0.31,0.17,0.2,0.043,-0.054,0.19,0.044,0.22,0.04,0.32,0.041,0.15,0.037,0.045,0.2,0.11,0.16,0.025,0.03,0.22,0.19,0.19,0.28,2.7e-05,0.13,0.24,0.18,0.059,0.048,0.22,0.2,0.13,0.017,-0.019,0.19,0.13,0.24,0.12,0.23,0.24,0.23,0.19,0.18,0.17,0.097,0.29,0.2,0.092,0.2,0.14,0.24,0.0037,0.21,0.13,0.1,0.047,0.13,0.027,0.1,0.17,0.19,-0.2,-0.02,-0.19,-0.17,0.15,0.12,0.098,-0.015,0.2,0.15,0.21,0.2,0.26,0.088,0.16,0.23,0.094,0.14
"31","TXN",-0.00088,0.32,0.32,-0.0036,0.22,-0.038,0.32,0.027,0.39,0.34,0.36,0.21,0.19,0.36,0.22,0.29,0.018,-0.068,0.31,0.025,0.34,0.025,0.41,0.029,0.17,0.039,0.16,0.31,0.21,0.2,0.038,0.011,0.36,0.32,0.28,0.38,0.01,0.25,0.26,0.21,0.041,0.016,0.31,0.26,0.28,0.019,0.028,0.32,0.22,0.34,0.18,0.34,0.36,0.37,0.33,0.29,0.3,0.23,0.31,0.32,0.18,0.34,0.25,0.38,0.025,0.31,0.24,0.091,0.043,0.24,0.011,0.14,0.29,0.28,-0.29,-0.018,-0.25,-0.27,0.26,0.23,0.21,0.014,0.3,0.28,0.35,0.26,0.43,0.0068,0.23,0.27,0.18,0.27
